Date,ConfirmedCases
28/04/2021,18376421
29/04/2021,18762976
30/04/2021,19164969
01/05/2021,19557457
02/05/2021,19925517
03/05/2021,20282833
04/05/2021,20664979
05/05/2021,21077410
06/05/2021,21491598
07/05/2021,21892676
08/05/2021,22296081
09/05/2021,22662575
10/05/2021,22992517
11/05/2021,23340938
12/05/2021,23703665
13/05/2021,24046809
